,Word,Reading,Meaning
136,人生,じんせい,(human) life (i.e. conception to death)
137,生徒,せいと,pupil
138,先生,せんせい,"teacher, master, doctor; with names of teachers, etc. as an honorific"
140,五,"ご, いつ, い",five
143,五輪,ごりん,the Olympics
144,五十,"ごじゅう, いそ, い",fifty
145,五つ,いつつ,five
146,五分,ごぶ,"half, 50%, tie, evenness; 5 parts, 5%"
147,五十三次,ごじゅうさんつぎ,the 53 Toukaidou stages
148,五感,ごかん,the five senses
149,五十音,ごじゅうおん,the Japanese syllabary
150,上がったり,あがったり,"doomed, in a bad state, poor (e.g. business)"
151,史上,しじょう,historical
152,事実上,じじつじょう,"(as a) matter of fact, actually, in reality"
153,上げ,あげ,"rise in price, making a tuck"
154,上昇,じょうしょう,"rising, ascending, climbing"
155,向上,こうじょう,"elevation, rise, improvement, advancement, progress"
156,上がり,あがり,"ascent, rise, slope; freshly-drawn green tea (esp. in sushi shops); advance income, crop yield; death, spinning, completion, stop, finish; after (rain), ex (official, etc.); (end) results (e.g. of crafts like painting, pottery, etc.), how something comes out"
157,上位,じょうい,superior (rank not class); higher order (e.g. byte); host computer (of connected device)
158,地上,ちじょう,above ground
159,途上国,とじょうこく,developing country
160,四,"よん, し, よ",four
161,四つ,よっつ,four
163,十四,"じゅうし, じゅうよん","14, fourteen"
164,四十,"よんじゅう, しじゅう, よそ",forty
165,四百,よんひゃく,four hundred
166,四球,しきゅう,"four balls, base on balls (baseball), a walk"
167,四千,よんせん,four thousand
168,四十七士,しじゅうしちし,The 47 Ronin
169,四半期,しはんき,quarter (of a year)
170,お金,おかね,money
171,金融,きんゆう,"financing, credit transacting, loaning of money, circulation of money"
172,金利,きんり,interest rates
173,献金,けんきん,"donation, contribution, offering"
174,資金,しきん,"funds, capital"
175,基金,ききん,"fund, foundation"
177,料金,りょうきん,"fee, charge, fare"
178,金額,きんがく,amount of money
179,金融機関,きんゆうきかん,"financial institutions, banking facilities"
180,九,"きゅう, く, ここの, この, ここ",nine
183,九州,きゅうしゅう,Kyushu (southernmost of the four main islands of Japan)
184,九十,"きゅうじゅう, くじゅう",ninety
185,九九,くく,"multiplication table, times table"
186,九つ,ここのつ,nine
187,一一九番,ひゃくじゅうきゅうばん,ambulance and fire brigade emergency tel. no. (in Japan)
188,千九百年代,せんきゅうひゃくねんだい,the 1900s
189,九重,ここのえ,"ninefold, imperial palace, the Court"
190,入り,いり,"entering; setting (of the sun); containing, content, audience; income; beginning"
191,輸入,"ゆにゅう, しゅにゅう","importation, import, introduction"
192,購入,こうにゅう,"purchase, buy"
193,収入,しゅうにゅう,"income, receipts, revenue"
194,導入,どうにゅう,"introduction, bringing in, leading in, installation"
195,介入,かいにゅう,intervention
196,受け入れ,うけいれ,"receiving, acceptance"
197,入札,にゅうさつ,"bid, bidding"
198,加入,かにゅう,"becoming a member, joining, entry, admission, subscription, affiliation, adherence, signing"
199,参入,さんにゅう,"coming, visiting, going"
200,学校,がっこう,school
203,医学,いがく,"medical science, medicine"
204,科学,かがく,science
205,学部,がくぶ,"department of a university; undergraduate (course, program, etc.)"
206,文学,ぶんがく,literature
207,学,がく,"learning, scholarship, erudition, knowledge"
208,学園,がくえん,"academy, campus"
209,学者,がくしゃ,scholar
210,円,"えん, まる","Yen, money; circle"
211,円高,えんだか,"high-valued yen, exchange in favor (favour) of the yen"
212,円安,えんやす,cheap yen
213,円相場,えんそうば,yen exchange rate
214,一円,いちえん,"whole district, one yen, throughout"
215,円滑,"えんかつ, えんこつ","smooth, undisturbed, uninterrupted, harmonious"
216,円形,"えんけい, まるがた","round shape, circle; circular form"
217,円卓,えんたく,round table
218,円満,えんまん,"perfection, harmony, peace, smoothness, completeness, satisfaction, integrity"
219,円筒,えんとう,cylinder
220,子,こ,"child; young (animal); young woman, young geisha; offshoot; interest; new shares; bird egg; (after a noun or -masu stem) -er (often of young women)"
221,子供,こども,"child, children"
222,女子,"じょし, おなご","woman, girl"
223,男子,だんし,"youth, young man"
224,原子力,げんしりょく,atomic energy
225,様子,ようす,"aspect, state, appearance"
226,息子,"むすこ, そく",son; penis
227,金子,きんす,"money, funds"
228,甲子,かっし,first of the sexagenary cycle
229,遺伝子,いでんし,"gene, genetic"
230,八,"はち, や",eight
232,八月,はちがつ,August
233,八十,"はちじゅう, やそ",eighty
234,三十八度線,さんじゅうはちどせん,the Thirty-eighth Parallel
235,百八十度,ひゃくはちじゅうど,"180 degrees, complete change"
236,八幡,はちまん,Hachiman (God of War); Hachiman shrine; certainly
237,十八番,"じゅうはちばん, おはこ","No. 18, eighteenth; repertoire of 18 kabuki plays; one's favourite stunt (favorite), one's specialty"
238,八重,やえ,"multilayered, doubled"
239,八分音符,はちぶおんぷ,8th note
240,六,"ろく, む, むう",six
241,六月,ろくがつ,June
242,六十,"ろくじゅう, むそ",sixty
243,六十四分音符,ろくじゅうしぶおんぷ,64th note
244,十六,じゅうろく,"16, sixteen"
245,六角,ろっかく,hexagon
246,四六時中,しろくじちゅう,"around the clock, day and night (Note: 4 x 6 = 24)"
247,六つ,"むっつ, むつ",six
248,一六銀行,いちろくぎんこう,pawnshop
249,一六勝負,いちろくしょうぶ,"gambling, speculation"
250,下,もと,under (esp. influence or guidance)
251,下げる,さげる,"to hang, to lower, to move back, to wear, to dismiss, to grant"
252,引き下げ,ひきさげ,"reduction, cut"
253,下り,くだり,"down-train (going away from Tokyo); down-slope, downward going"
254,下院,かいん,"lower house, lower (legislative) body"
255,下車,げしゃ,"alighting (from train, bus, etc.), getting off"
256,地下,ちか,"basement, cellar, underground place; underground, below ground; secret, under cover; underground (railway), subway, metro"
257,低下,ていか,"fall, decline, lowering, deterioration, degradation"
258,以下,"いか, いげ","not exceeding, and downward, ... and below; below (e.g. standard), under (e.g. a level); the below-mentioned, the following, the rest"
259,殿下,"でんか, てんが","your Highness, his (or her) Highness"
260,気,き,"spirit, mind, heart; nature, disposition; motivation, intention; mood, feelings; atmosphere, essence"
261,景気,けいき,"condition, state, business (condition)"
263,気持ち,きもち,"feeling, sensation, mood"
264,電気,でんき,electricity; (electric) light
265,病気,びょうき,"illness, disease, sickness"
266,一気,いっき,drink! (said repeatedly as a party cheer)
267,気分,きぶん,"feeling, mood"
268,空気,くうき,"air, atmosphere"
269,雰囲気,ふんいき,"atmosphere (e.g. musical), mood, ambience, ambiance"
270,小選挙区,しょうせんきょく,"small electoral district, single-member constituency"
271,小学校,しょうがっこう,"primary school, elementary school, grade school"
272,小説,しょうせつ,"novel, (short) story"
273,小学生,しょうがくせい,"elementary school student, primary school student, grade school student"
274,中小企業,ちゅうしょうきぎょう,"small to medium enterprises, smaller companies"
275,小学,しょうがく,"elementary school, primary school, grade school"
276,小型,こがた,"small size, tiny"
277,縮小,しゅくしょう,"reduction, curtailment"
278,小川,おがわ,"streamlet, brook"
279,小島,こじま,"small island, islet"
280,七,"しち, なな, な",seven
282,十七,"じゅうしち, じゅうなな","17, seventeen"
283,七十,"しちじゅう, ななじゅう, ななそ",seventy
285,七つ,ななつ,seven
286,七七日,"しちしちにち, なななぬか, なななのか",49th day after death
287,二七日,"ふたなぬか, ふたなのか",second week's memorial services
288,七夕,"たなばた, しちせき","Festival of the Weaver (July 7th), Star Festival"
289,七回忌,しちかいき,seventh anniversary of a death
290,山,やま,"mountain; pile, heap; climax, critical point; speculated area covered by an examination"
291,火山,かざん,volcano
292,青山,せいざん,"blue or green mountain; grave, burial place"
293,山形,やまがた,mountain-shaped
294,登山,とざん,mountain climbing
295,山岳,さんがく,mountains
296,小山,こやま,"hill, knoll"
297,富士山,ふじさん,Mt Fuji
298,大山,たいざん,great mountain
299,山村,さんそん,mountain village
300,女,おんな,woman
302,女性,じょせい,"woman, female; feminine gender"
303,男女,だんじょ,"man and woman, men and women"
304,彼女,かのじょ,"she, her; girl friend, girlfriend, sweetheart"
305,女優,じょゆう,actress
306,長女,ちょうじょ,eldest daughter
307,少女,"しょうじょ, おとめ","young lady, little girl, virgin, maiden, daughter"
308,女子大,じょしだい,"women's college, women's university"
309,女の子,"おんなのこ, おんなのコ, おんにゃのこ",girl
310,百,"ひゃく, もも","100, hundred"
313,百貨店,ひゃっかてん,(department) store(s)
314,百万,ひゃくまん,"1,000,000, one million; many"
316,百億,ひゃくおく,"10,000,000,000, ten billion (American), (obs) ten milliard (British)"
317,数百,すうひゃく,several hundreds
319,百合,"ゆり, ユリ","lily, Lilium; comics and novels about female homosexuality"
320,先に,さきに,"before, earlier than, ahead, beyond, away, previously, recently"
321,先月,せんげつ,last month
322,先進国,せんしんこく,"advanced (developed) country, advanced nations"
324,先発,せんぱつ,"forerunner, advance party, going on ahead; being in a (team sports) match or game from the start, starting"
325,優先,ゆうせん,"preference, priority, precedence"
326,先進,せんしん,"seniority, advance, leadership"
327,先頭,せんとう,"head, lead, vanguard, first"
328,先行,せんこう,"preceding, going first, leading, going ahead, taking priority"
329,先週,せんしゅう,"last week, the week before"
330,名,な,"name, reputation"
331,名前,なまえ,"name, full name; given name, first name"
332,名誉,めいよ,"honor, honour, credit, prestige"
333,指名,しめい,"name, nominate, designate"
334,氏名,しめい,"full name, identity"
335,有名,ゆうめい,famous; fame
336,署名,しょめい,signature
337,本名,"ほんみょう, ほんめい",real name
338,名人,めいじん,"master, expert"
339,名簿,めいぼ,register of names
340,川,"かわ, がわ","river, stream; the .... river, (suffix used with the names of rivers)"
342,河川,かせん,rivers
343,谷川,たにがわ,mountain stream
344,江戸川,えどがわ,Edo River
345,川口,"かわぐち, かこう","mouth of river, estuary"
346,川上,かわかみ,upper reaches of a river
347,川柳,せんりゅう,comic haiku
348,川端,かわばた,riverbank
349,河川敷,"かせんしき, かせんじき",(dry) riverbed
350,千,"せん, ち","1,000, thousand"
353,千代,"せんだい, ちよ","thousand years; very long period, forever"
354,千里,せんり,"1000 ri, (a) long distance"
355,千秋楽,せんしゅうらく,"concluding festivities, final day of a sumo tournament, concluding program, concluding programme"
356,千島,ちしま,Kurile Islands
357,千歳,"ちとせ, せんねん","millennium, one thousand years"
359,何千,なんぜん,many thousands
360,水,みず,"water (cold, fresh)"
361,水準,すいじゅん,"level, standard; water level"
362,水道,すいどう,"water service, water supply"
363,水面,"すいめん, みなも, みのも",water's surface
364,水泳,すいえい,swimming
365,水田,すいでん,(water-filled) paddy field
366,水俣病,みなまたびょう,Minamata disease
367,水産,すいさん,"marine products, fisheries"
368,水質,すいしつ,water quality
369,下水道,げすいどう,"drain, sewer, drainage system"
370,国,くに,"country, (the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth"
371,外国,がいこく,foreign country
373,韓国,かんこく,(South) Korea
374,国家,こっか,"state, country, nation"
375,国会,こっかい,"National Diet, parliament, congress"
376,国際,こくさい,international
377,国内,こくない,"internal, domestic"
378,国民,こくみん,"nation, nationality, people, citizen"
379,国連,こくれん,"UN, United Nations"
380,長,"ちょう, おさ","chief, head"
381,委員長,いいんちょう,committee chairman
382,会長,かいちょう,"president (of a society), chairman"
383,議長,ぎちょう,"chairman, speaker (e.g. of assembly), president (e.g. of council, senate, etc.), moderator (e.g. of a newsgroup)"
384,社長,しゃちょう,"company president, manager, director"
385,成長,せいちょう,"growth, grow to adulthood"
386,長官,ちょうかん,"secretary (government), director, chief"
387,長男,ちょうなん,eldest son
388,部長,ぶちょう,"head (chief, director) of a section or department; head of a (school) club, head of a (school) team"
389,延長,えんちょう,"extension, elongation, prolongation, lengthening; Enchou era (923.4.11-931.4.26)"
390,男,おとこ,man
392,男性,だんせい,"man, male; masculine gender"
395,男の子,"おとこのこ, おとこのコ","boy, male child, baby boy"
396,三男,さんなん,"three men, third son"
397,男児,だんじ,"boy, son, man"
398,一男,いちなん,"boy, eldest son"
399,男優,だんゆう,actor
400,時,とき,"time, hour; occasion, moment"
401,時間,じかん,time; hours
402,時期,じき,"time, season, period; soon, shortly"
403,時代,じだい,"period, epoch, era, age; the times, those days; oldness, ancientness, antiquity; antique, period piece"
404,当時,とうじ,"at that time, in those days"
405,同時,どうじ,"simultaneous(ly), concurrent, same time, synchronous, together"
407,時事,じじ,"events of the day, current affairs"
408,時半,じはん,"about an hour, short time; half past (the hour)"
409,臨時,りんじ,"temporary, special, extraordinary"
410,行う,おこなう,"to perform, to do, to conduct oneself, to carry out"
411,行,ぎょう,"line (i.e. of text), row, verse; carya (austerities); samskara (formations); running script (a semi-cursive style of kanji)"
412,銀行,ぎんこう,bank
413,行政,ぎょうせい,administration
414,行動,こうどう,"action, conduct, behaviour, behavior, mobilization, mobilisation"
415,現行,げんこう,"present, current, in operation"
416,行為,こうい,"act, deed, conduct"
417,行方,ゆくえ,"(one's) whereabouts; course, direction"
418,発行,はっこう,"issue (publications), publishing; raising an event (software)"
419,旅行,りょこう,"travel, trip"
420,分け,わけ,"sharing, division; draw, tie"
421,分ける,わける,"to divide, to separate, to make distinctions, to differentiate (between)"
422,自分,じぶん,"myself, yourself, oneself, himself, herself; I, me"
423,部分,ぶぶん,"portion, section, part"
424,分野,ぶんや,"field, sphere, realm, division, branch"
425,十分,じゅうぶん,"plenty, enough, sufficient, satisfactory, adequate; division into ten; perfectly, thoroughly, fully, in full"
426,処分,しょぶん,"disposal, dealing, punishment"
427,半分,はんぶん,half
428,残った分,のこったぶん,amount left over
430,後,あと,"behind, rear; after, later; after one's death; remainder, the rest; descendant, successor, heir; past/previous; more (i.e. five more minutes)"
431,午後,ごご,"afternoon, p.m."
432,後ろ,うしろ,"back, behind, rear"
433,今後,こんご,"from now on, hereafter"
434,最後,さいご,"last, end, conclusion; (after -tara form or -ta form followed by ""ga"") no sooner than, right after (often having negative consequences); one's final moments"
435,戦後,せんご,"postwar period, period after Second World War"
436,後半,こうはん,"second half, latter half"
437,直後,ちょくご,immediately following
438,後援,こうえん,"support, backing"
439,後継,こうけい,successor
440,午前,ごぜん,"morning, a.m."
442,前回,ぜんかい,"last time, last installment, last instalment, last session"
443,前提,ぜんてい,"preamble, premise, reason, prerequisite, condition, assumption, hypothesis"
445,直前,ちょくぜん,just before
447,前半,"ぜんはん, ぜんぱん",first half
448,以前,いぜん,"ago, since, before, previous"
449,事前,じぜん,"prior, beforehand, in advance"
450,間,あいだ,"space (between), gap, interval, distance; time (between), pause, break; span (temporal or spatial), stretch, period (while); relationship (between, among); members (within, among); due to, because of"
451,間もなく,まもなく,"soon, before long, in a short time; (after verb) lacking time to ..., without time to ..."
452,期間,きかん,"period, term, interval"
456,民間,みんかん,"private, civilian, civil, popular, folk, unofficial"
458,仲間,なかま,"company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner"
459,空間,くうかん,"space, room, airspace"
460,東,"ひがし, ひむかし, ひんがし",east
461,東京,とうきょう,Tokyo (current capital of Japan)
463,東海,とうかい,"region south of Tokyo on Pacific Ocean side of Japan, eastern sea"
464,東北,"とうほく, ひがしきた",north-east; Northern most six prefectures of Honshu
465,東欧,とうおう,Eastern Europe
466,東西,とうざい,"East and West; whole country; Orient and Occident, Western and Eastern; Your attention, please!"
467,東南,"とうなん, ひがしみなみ",south-east
468,東芝,とうしば,Toshiba (company)
469,東洋,とうよう,Orient
470,今,いま,"now, the present time, just now, soon, immediately, (one) more"
471,今や,いまや,now
472,今回,こんかい,"now, this time, lately"
476,今度,こんど,"now, this time, next time, another time"
478,今季,こんき,this season
479,今春,こんしゅん,"this spring, spring this year"
480,高さ,たかさ,height
481,高校,こうこう,senior high school
482,最高,さいこう,"highest, supreme, the most"
484,高,"たか, だか","quantity, amount, volume, number, amount of money"
485,高い,たかい,"high, tall; expensive"
486,高まる,たかまる,"to rise, to swell, to be promoted"
487,高官,こうかん,high official
488,高校生,こうこうせい,senior high school student
489,高齢,こうれい,advanced (old) age
492,校長,こうちょう,"principal, headmaster"
495,中学校,ちゅうがっこう,"junior high school, middle school, lower secondary school"
496,登校,とうこう,"attendance (at school), going to school"
497,校舎,こうしゃ,school building
498,同校,どうこう,same school
499,専門学校,"せんもんがっこう, せんもんガッコウ, せんもんガッコ","vocational school, technical school"
500,土,"つち, つし","earth, soil, dirt; the earth (historically, esp. as opposed to the heavens), the ground, the land; low-quality torinoko-gami (containing mud); (period of) refraining from construction in the direction of the god of the earth (in On'youdou)"
501,土地,とち,"plot of land, lot, soil"
502,領土,りょうど,"dominion, territory, possession"
503,土曜,どよう,Saturday
504,国土,こくど,"country, territory, domain, realm"
505,土俵,どひょう,"arena, esp. in sumo; forum (e.g. for discussion); sandbag, gabion"
506,土木,どぼく,public works
507,全土,ぜんど,"the whole nation (land, country)"
508,土壌,どじょう,soil
509,風土,ふうど,"natural features, topography, climate, spiritual features"
510,外,ほか,"other (esp. places and things), the rest"
511,海外,かいがい,"foreign, abroad, overseas"
512,外交,がいこう,diplomacy
515,外相,がいしょう,Foreign Minister
516,外務省,がいむしょう,Ministry of Foreign Affairs
517,外務,がいむ,foreign affairs
518,内外,"ないがい, うちそと","inside and outside, domestic and foreign, approximately, interior and exterior"
519,意外,いがい,"unexpected, surprising"
520,木,き,"tree, wood, timber"
521,青木,"あおき, アオキ","Japanese laurel, spotted laurel, Aucuba japonica; live tree"
522,木造,もくぞう,"wooden, made of wood"
524,木材,もくざい,"lumber, timber, wood"
525,荒木,あらき,"logs in bark, rough wood"
526,樹木,じゅもく,"trees and shrubs, arbour, arbor"
527,木曜,もくよう,Thursday
528,木星,もくせい,Jupiter (planet)
529,木製,もくせい,"wooden, made of wood"
530,来,らい,"next (year, etc.); since (last month, etc.)"
531,以来,いらい,"since, henceforth"
532,従来,じゅうらい,"up to now, so far, traditional, existing (e.g. equipment)"
533,将来,しょうらい,"future (usually near), prospects"
535,本来,ほんらい,"essentially, naturally, by nature, in (and of) itself, originally"
536,来月,らいげつ,next month
537,来日,らいにち,"arrival in Japan, coming to Japan, visit to Japan"
538,未来,みらい,the future (usually distant); future tense; the world to come
539,来春,"らいしゅん, らいはる",next spring
540,車,くるま,"car, automobile, vehicle; wheel"
541,自動車,じどうしゃ,automobile
543,乗用車,じょうようしゃ,"passenger vehicle, automobile"
544,自転車,"じてんしゃ, じでんしゃ",bicycle
545,車両,しゃりょう,"rolling stock, railroad cars, vehicles"
546,電車,でんしゃ,(electric) train
547,列車,れっしゃ,train (ordinary)
548,駐車場,ちゅうしゃじょう,"parking lot, parking place"
549,戦車,せんしゃ,tank (military vehicle)
550,話,はなし,"talk, speech, chat, story, conversation; discussions, negotiation, argument"
551,電話,でんわ,telephone
552,対話,たいわ,"interactive, interaction, conversation, dialogue"
553,話題,わだい,"topic, subject"
554,話し合い,はなしあい,"discussion, conference"
555,会話,かいわ,conversation
556,世話,せわ,"looking after, help, aid, assistance"
557,談話,だんわ,"a talk, conversation"
558,通話,つうわ,"telephone call, talking, calling; counter for telephone calls"
559,神話,しんわ,"myth, legend"
560,北,きた,north
561,北海道,ほっかいどう,Hokkaido (northernmost of the four main islands of Japan)
562,北京,ぺきん,"Beijing (China), Peking"
563,北朝鮮,きたちょうせん,North Korea
565,南北,なんぼく,south and north
566,北方,ほっぽう,"northern (district), northward"
567,北部,ほくぶ,"north, northern part"
568,北東,"ほくとう, きたひがし",northeast
569,敗北,はいぼく,defeat; to be defeated
572,正午,しょうご,"noon, mid-day"
573,午,うま,"seventh sign of Chinese zodiac (The Horse, 11am-1pm, south, May)"
574,午,ひる,"noon, midday; daytime; lunch"
575,子午線,しごせん,the meridian
576,端午,たんご,Boy's Day celebration (May 5th)
577,午過ぎ,ひるすぎ,after noon
578,午后,ごご,"afternoon, p.m."
579,午後中,ごごじゅう,throughout the afternoon
580,書記,しょき,"clerk, secretary"
581,秘書,ひしょ,(private) secretary
582,報告書,ほうこくしょ,(written) report
583,文書,"ぶんしょ, もんじょ","document, writing, letter, paperwork, note, records, archives"
584,教科書,きょうかしょ,"textbook, text book"
585,書店,しょてん,"bookshop, bookstore"
586,著書,ちょしょ,"literary work, book"
587,白書,はくしょ,white paper
588,書類,しょるい,"documents, official papers"
589,図書館,"としょかん, ずしょかん",library
590,半,はん,half
593,半ば,なかば,"middle, half, semi, halfway, partly"
596,大半,たいはん,"majority, mostly, generally"
597,過半数,かはんすう,majority
598,朝鮮半島,ちょうせんはんとう,Korean peninsula
599,半数,はんすう,half the number; haploid
600,白,しろ,"white; good guy, 'white hat'"
602,白人,はくじん,"white person, Caucasian"
603,空白,くうはく,"blank space, vacuum, space, null (NUL)"
604,白紙,はくし,"blank paper, white paper"
605,明白,めいはく,"obvious, clear, plain, evident, apparent, explicit, overt"
606,白血病,はっけつびょう,leukemia
607,自白,じはく,"confession, acknowledgement, acknowledgment"
608,白い,しろい,white
609,面白,おもしろ,"amusing, interesting"
610,西,にし,west
611,関西,"かんさい, かんせい","Kansai (south-western half of Japan, including Osaka)"
612,西側,にしがわ,"west side, west bank"
614,西欧,せいおう,Western Europe
615,大西洋,たいせいよう,Atlantic Ocean
616,西部,せいぶ,"the west, western part, the West"
617,南西,"なんせい, みなみにし",southwest
618,西日本,"にしにほん, にしにっぽん",western Japan
619,西洋,せいよう,"the west, Western countries"
622,電力,でんりょく,electric power
623,電子,でんし,"electron; (esp. as a prefix) electronic, electronics"
625,家電,かでん,consumer electronics
626,電機,でんき,"electrical machinery, appliances"
